측 정 소: ,701,광복동,,,,,,,,,,,,,,,,,,,,,,,,,
측정항목: ,1,O₃,,,,,,,,,,,,,,,,,,,,,,,,,
측정년월: , 2010년,01월,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최소,최대,평균
27일,0.003,0.004,0.004,0.007,0.004,0.004,0.005,0.008,0.008,0.008,0.007,0.005,0.005,0.007,0.008,0.013,0.012,0.01,0.011,0.017,0.017,0.019,0.017,0.015,0.003,0.019,0.009
28일,0.01,0.007,0.01,0.012,0.015,0.021,0.02,0.013,0.009,0.009,0.009,0.011,0.015,0.016,0.015,0.015,0.016,0.014,0.01,0.004,0.005,0.012,0.017,0.018,0.004,0.021,0.013
29일,0.02,0.019,0.023,0.026,0.026,0.022,0.013,0.007,0.015,0.014,0.012,0.014,0.019,0.02,0.021,0.023,0.024,0.023,0.02,0.019,0.017,0.011,0.012,0.015,0.007,0.026,0.018
30일,0.022,0.025,0.024,0.024,0.024,0.025,0.024,0.02,0.015,0.014,0.01,0.013,0.015,0.017,0.014,0.012,0.012,0.013,0.014,0.01,0.006,0.006,0.006,0.007,0.006,0.025,0.016
31일,0.008,0.006,0.004,0.005,0.007,0.009,0.011,0.011,0.006,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.008,0.01,0.003,0.003,0.003,0.003,0.004,0.003,0.011,0.005
최소,0.003,0.003,0.004,0.001,0.003,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.001,0.001,0.002,0.003,0.002,0.001,,
최대,0.034,0.034,0.033,0.033,0.032,0.032,0.03,0.027,0.023,0.027,0.031,0.029,0.029,0.033,0.038,0.035,0.034,0.027,0.027,0.023,0.024,0.027,0.03,0.03,,0.038,
평균,0.017,0.018,0.019,0.02,0.02,0.02,0.017,0.014,0.012,0.011,0.012,0.014,0.015,0.017,0.019,0.019,0.019,0.016,0.013,0.01,0.011,0.013,0.013,0.014,,,0.016
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
측 정 소: ,701,광복동,,,,,,,,,,,,,,,,,,,,,,,,,
측정항목: ,5,SO₂,,,,,,,,,,,,,,,,,,,,,,,,,
측정년월: , 2010년,01월,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최소,최대,평균
